   1 25
 21
  0 0.1                       D+01
  1 0.1                       D+01
  2 0.2                       D+01
  3 0.6                       D+01
  4 0.24                      D+02
  5 0.120                     D+03
  6 0.720                     D+03
  7 0.5040                    D+04
  8 0.40320                   D+05
  9 0.362880                  D+06
 10 0.3628800                 D+07
 11 0.39916800                D+08
 12 0.479001600               D+09
 13 0.6227020800              D+10
 14 0.87178291200             D+11
 15 0.1307674368000           D+13
 16 0.20922789888000          D+14
 17 0.355687428096000         D+15
 18 0.6402373705728000        D+16
 19 0.121645100408832000      D+18
 20 0.2432902008176640000     D+19
    5 0.490251327195252961647254D-02    6-0.164090810543097546763699D-02
    7-0.585348549317383879989448D-02    8 0.171694498540339606139830D-02
    9 0.665295930563330973134853D-02   10-0.170418783972751721293427D-02
   11-0.733604360001499777772242D-02   12 0.162249425771370230723871D-02
   13 0.791960479988923685380865D-02   14-0.148532419584956567655591D-02
   15-0.841249493466998064471574D-02   16 0.130309114384701984653112D-02
   17 0.881954378798682543593439D-02   18-0.108460563180277800990544D-02
   19-0.914340754224598462406141D-02   20 0.837784358605842867021932D-03
   21 0.938552453700419107389527D-02   22-0.570030792727197325351316D-03
   23-0.954664488492700646116792D-02   24 0.288453527114638836016371D-03
